name	value	category
Orussus_abietinus	0.7	bF
Orussus_abietinus	0.9	aM
Ormyrus_pomaceus	94.9	dS
Ormyrus_pomaceus	1.2	cD
Ormyrus_pomaceus	1.8	bF
Ormyrus_pomaceus	2.1	aM
Ormyrus_nitidulus	94.3	dS
Ormyrus_nitidulus	1.4	cD
Ormyrus_nitidulus	2	bF
Ormyrus_nitidulus	2.3	aM
Megastigmus_dorsalis	92.8	dS
Megastigmus_dorsalis	2.4	cD
Megastigmus_dorsalis	2	bF
Megastigmus_dorsalis	2.8	aM
Megastigmus_stigmatizans	92.3	dS
Megastigmus_stigmatizans	2.3	cD
Megastigmus_stigmatizans	2.5	bF
Megastigmus_stigmatizans	2.9	aM
Osmia_lignaria	98.9	dS
Osmia_lignaria	0.1	cD
Osmia_lignaria	0.3	bF
Osmia_lignaria	0.7	aM
Osmia_bicornis_bicornis	99	dS
Osmia_bicornis_bicornis	0.4	cD
Osmia_bicornis_bicornis	0.1	bF
Osmia_bicornis_bicornis	0.5	aM
Megachile_rotundata	99.6	dS
Megachile_rotundata	0.1	cD
Megachile_rotundata	0	bF
Megachile_rotundata	0.3	aM
Diadromus_collaris	32.6	dS
Diadromus_collaris	0.1	cD
Diadromus_collaris	45	bF
Diadromus_collaris	22.3	aM
Diadegma_semiclausum	34.9	dS
Diadegma_semiclausum	0.4	cD
Diadegma_semiclausum	37.5	bF
Diadegma_semiclausum	27.2	aM
Campoletis_sonorensis	94.8	dS
Campoletis_sonorensis	4.1	cD
Campoletis_sonorensis	0.4	bF
Campoletis_sonorensis	0.7	aM
Nomia_melanderi	98.8	dS
Nomia_melanderi	0.2	cD
